Ref.	Bª Sta Catalina	HOSPITAL	Allen	Fdez. Oro	Cipolletti	Neuquén
12:00	12:15	12:45	13:00	13:15	13:30	13:40	14:05	14:20	14:40	14:55	15:10	15:25	15:35
12:50	13:05	13:35	13:50	14:05	14:15	14:30	15:00	15:15	15:35	15:50	16:05	16:20	16:30
13:30	13:45	14:15	14:30	14:45	15:00	15:10	15:35	15:50	16:10	16:25	16:40	16:55	17:05
14:10	14:25	14:55	15:10	15:25	15:40	15:50	16:15	16:30	16:50	17:10	17:25	17:40	17:50
15:00	15:15	15:45	16:00	16:15	16:30	16:40	17:00	17:15	17:35	17:50	18:05	18:20	18:30
15:50	16:05	16:35	16:50	17:05	17:20	17:30	18:05	18:20	18:40	18:55	19:10	19:25	19:35
16:40	16:55	17:25	17:40	17:55	18:10	18:20	18:45	19:00	19:20	19:35	19:50	20:05	20:15
17:20	17:35	18:05	18:20	18:35	18:50	19:00	19:25	19:40	20:00	20:15	20:30	20:45	20:55
18:00	18:15	18:45	19:00	19:15	19:30	19:40	20:05	20:15	20:35	20:50	21:05	21:20	21:30
18:40	18:55	19:25	19:40	19:55	20:10	20:20	20:45	21:00	21:20	21:35	21:50	22:05	22:15
19:20	19:35	20:05	20:20	20:35	20:50	21:00	21:25	21:40	22:00	22:15	22:30	22:45	22:55
20:00	20:15	20:45	21:00	21:15	21:30	21:40	22:05	22:20	22:40	22:55	23:10	23:25	23:35
20:40	20:55	21:25	21:40	21:55	22:10	22:20	22:45	23:00	23:20	23:35	23:50	00:05	00:15
21:30	21:45	22:15	22:30	22:45	23:00	23:10	23:35	23:50	00:10	00:25	00:40	00:55	01:05
22:15	22:30	23:00	23:15	23:30	23:45	23:55	00:15	00:25	00:45	01:00	01:15	01:30	01:40
22:55	23:10	23:40	23:55	00:10	00:25	00:35	00:55	01:05	01:25	01:40	01:55	02:10	02:20
23:45	23:55	00:20	00:35	00:45									
23:55	00:05	00:25	00:35	00:45	00:55	01:05	01:20						
	00:30	01:05	01:20	01:30									
	01:15	01:40	01:55	02:10									
	02:10	02:40	02:55	03:10									
[---]
V.Regina	Godoy	Huergo	Mainque	Cervantes	Stefenelli	G.Roca	Gomez	Guerrico	Allen	Fdez.Oro	Cipolletti	Neuquen	ETON
									04:00	04:15	04:30	04:50	05:00
									04:45	04:55	05:10	05:30	05:40
								05:15	05:20	05:35	05:50	06:15	06:25
03:50	04:00	04:10	04:20	04:30	04:50	05:00	05:15	05:25	05:40	05:55	06:10	06:40	06:50
04:35	04:45	04:55	05:05	05:15	05:35	05:55	06:10	06:20	06:35	06:50	07:05	07:35	07:45
05:00	05:10	05:20	05:30	05:40	06:00	06:20	06:35	06:45	07:00	07:15	07:30	08:00	08:15
						06:55	07:10	07:20	07:35	07:50	08:05	08:35	
05:40	05:50	06:05	06:20	06:35	06:55	07:15	07:30	07:40	07:55	08:10	08:25	08:55	09:10
06:20	06:30	06:45	07:00	07:15	07:35	07:55	08:10	08:20	08:35	08:50	09:05	09:35	09:50
07:00	07:10	07:25	07:40	07:55	08:15	08:35	08:50	09:00	09:15	09:30	09:45	10:15	10:30
07:40	07:50	08:05	08:20	08:35	08:55	09:15	09:30	09:40	09:55	10:10	10:25	10:55	11:10
08:20	08:30	08:45	09:00	09:15	09:35	09:55	10:10	10:20	10:35	10:50	11:05	11:35	11:50
09:10	09:20	09:35	09:50	10:05	10:25	10:45	11:00	11:10	11:25	11:40	11:55	12:25	12:40
09:50	10:00	10:15	10:30	10:45	11:05	11:25	11:40	11:50	12:05	12:20	12:35	13:05	13:20
10:30	10:40	10:55	11:10	11:25	11:45	12:05	12:20	12:30	12:45	13:00	13:15	13:45	14:00
11:25	11:35	11:50	12:05	12:20	12:40	13:00	13:15	13:25	13:40	13:55	14:10	14:40	14:50
12:10	12:20	12:35	12:50	13:05	13:25	13:45	14:00	14:10	14:25	14:40	14:55	15:25	15:40
13:00	13:10	13:25	13:40	13:55	14:15	14:35	14:50	15:00	15:15	15:30	15:45	16:15	16:30
13:40	13:50	14:05	14:20	14:35	14:55	15:15	15:30	15:40	15:55	16:10	16:25	16:55	17:10
14:25	14:35	14:50	15:05	15:20	15:40	16:00	16:15	16:25	16:40	16:55	17:10	17:40	17:50
14:55	15:05	15:20	15:35	15:50	16:10	16:25	16:40	16:50	17:05	17:20	17:35	18:05	18:20
15:45	15:55	16:10	16:25	16:40	17:00	17:15	17:30	17:40	17:55	18:10	18:25	18:55	19:10
16:25	16:35	16:50	17:05	17:20	17:40	17:55	18:10	18:20	18:35	18:50	19:05	19:35	19:50
17:00	17:10	17:25	17:35	17:50	18:10	18:25	18:40	18:50	19:05	19:20	19:35	20:05	20:20
17:40	17:50	18:05	18:20	18:35	18:55	19:10	19:25	19:35	19:50	20:05	20:20	20:50	21:05
